route_id,bus_route,distance_km,travel_time _minutes,bus_type,bus_type_num,fare_lkr,traffic_level,traffic_level_num,direction,direction_num,time_slot,time_slot_num,age_group,age_group_num,fuel_cost_lkr_per_l,distance_per_litre_km_per_l,est_fuel_cost_per_trip_lkr,frequency_per_day,passenger_count
1,Kandy - Peradeniya,5,15,Normal,1,5,Low,1,Up,1,18:00-20:59,6,Senior,4,279.02,8.11,171.96,150,50
56,Colombo - Kurunegala,100,150,Normal,1,234,Low,1,Down,2,09:00-11:59,3,Adult,3,264.84,4,6618.45,25,54
32,Hambantota - Tissamaharama,40,70,Semi-Luxury,3,148,High,3,Up,1,06:00-08:59,2,Youth,2,272.6,5.11,2132.11,18,42
57,Kurunegala - Colombo,100,150,Expressway,2,379,Low,1,Down,2,06:00-08:59,2,Youth,2,301.14,3.81,7911.54,20,57
4,Colombo - Wattala,15,40,Normal,1,27,Low,1,Up,1,15:00-17:59,5,Youth,2,273.87,6.43,638.86,70,68
40,Hambantota - Matara,70,90,Normal,1,98,High,3,Down,2,18:00-20:59,6,Child,1,278.29,4.63,4210.5,15,66
28,Negombo - Colombo,40,90,Normal,1,104,Medium,2,Up,1,21:00-23:59,7,Adult,3,280.21,5.16,2170.35,40,57
2,Galle - Unawatuna,8,25,Luxury,4,10,High,3,Down,2,15:00-17:59,5,Adult,3,284.71,8.29,274.72,60,34
26,Colombo - Negombo,40,90,Normal,1,104,Medium,2,Down,2,15:00-17:59,5,Youth,2,278.27,6.15,1810.62,40,54
17,Wariyapola - Kurunegala,28,50,Normal,1,64,Medium,2,Up,1,12:00-14:59,4,Adult,3,291.35,5.26,1549.83,20,62
71,Kandy - Badulla,160,210,Normal,1,466,High,3,Down,2,12:00-14:59,4,Adult,3,291.4,4.38,10652.44,10,55
9,Sigiriya - Dambulla,20,30,Semi-Luxury,3,68,High,3,Up,1,21:00-23:59,7,Adult,3,285.22,5.89,968.95,30,47
2,Galle - Unawatuna,8,25,Luxury,4,9,High,3,Down,2,09:00-11:59,3,Adult,3,263.94,7.96,265.36,60,26
6,Colombo - Moratuwa,18,50,Expressway,2,38,Low,1,Down,2,00:00-05:59,1,Adult,3,266.89,5.68,846.1,60,46
51,Colombo - Ratnapura,85,130,Expressway,2,178,High,3,Up,1,18:00-20:59,6,Child,1,280.44,4.52,5277.03,20,46
18,Kurunegala - Melsiripura,30,50,Normal,1,69,High,3,Down,2,18:00-20:59,6,Youth,2,272.26,6.39,1278.07,20,54
4,Colombo - Wattala,15,40,Normal,1,25,Medium,2,Down,2,00:00-05:59,1,Adult,3,280.19,7.02,598.7,70,56
23,Matara - Galle,35,50,Semi-Luxury,3,79,High,3,Up,1,09:00-11:59,3,Senior,4,277.09,6.64,1461.05,22,31
30,Kandy - Nawalapitiya,40,80,Normal,1,98,High,3,Up,1,12:00-14:59,4,Adult,3,273.2,5.55,1969.88,22,57
72,Badulla - Kandy,160,210,Luxury,4,954,High,3,Up,1,15:00-17:59,5,Adult,3,279.3,3.37,13258.29,9,36
2,Galle - Unawatuna,8,25,Normal,1,5,Low,1,Down,2,18:00-20:59,6,Youth,2,278.9,8.34,267.56,60,57
1,Kandy - Peradeniya,5,15,Expressway,2,5,High,3,Up,1,21:00-23:59,7,Adult,3,276.02,8.53,161.78,150,48
74,Nuwara Eliya - Colombo,180,300,Semi-Luxury,3,390,Low,1,Up,1,12:00-14:59,4,Child,1,278.64,3.91,12815.47,6,45
35,Colombo - Avissawella,48,110,Semi-Luxury,3,215,Low,1,Up,1,00:00-05:59,1,Adult,3,270.04,4.76,2721.82,30,34
1,Kandy - Peradeniya,5,15,Luxury,4,5,High,3,Up,1,09:00-11:59,3,Child,1,268.35,8.3,161.58,150,26
21,Galle - Matara,35,50,Expressway,2,105,Low,1,Down,2,06:00-08:59,2,Youth,2,280.56,4.43,2215.64,20,58
36,Matara - Deniyaya,55,100,Normal,1,74,Medium,2,Up,1,21:00-23:59,7,Child,1,286.26,5.15,3055.18,12,55
10,Kuliyapitiya - Kurunegala,22,40,Expressway,2,54,Medium,2,Up,1,06:00-08:59,2,Youth,2,269.97,6.37,933.1,24,46
1,Kandy - Peradeniya,5,15,Normal,1,5,Medium,2,Down,2,09:00-11:59,3,Adult,3,274.56,9.24,148.58,150,56
11,Colombo - Homagama,23,55,Normal,1,56,Medium,2,Up,1,12:00-14:59,4,Adult,3,274.18,6.51,968.59,40,55
72,Badulla - Kandy,160,210,Semi-Luxury,3,730,Medium,2,Down,2,12:00-14:59,4,Adult,3,276.53,3.75,11804.21,9,42
61,Trincomalee - Batticaloa,120,150,Normal,1,334,Low,1,Up,1,18:00-20:59,6,Adult,3,280.05,4.89,6878.62,14,44
63,Batticaloa - Trincomalee,120,150,Expressway,2,320,Low,1,Up,1,12:00-14:59,4,Senior,4,288.33,5.36,6457.55,14,46
10,Kuliyapitiya - Kurunegala,22,40,Normal,1,49,Medium,2,Up,1,09:00-11:59,3,Youth,2,280.86,5.43,1138.83,24,58
4,Colombo - Wattala,15,40,Expressway,2,20,High,3,Down,2,18:00-20:59,6,Child,1,284.46,7.35,580.77,70,43
2,Galle - Unawatuna,8,25,Normal,1,5,Low,1,Up,1,09:00-11:59,3,Senior,4,278.09,8.17,272.46,60,46
9,Sigiriya - Dambulla,20,30,Normal,1,45,Low,1,Up,1,06:00-08:59,2,Adult,3,272.52,7.1,768.01,30,64
39,Matara - Hambantota,70,90,Normal,1,201,Medium,2,Up,1,21:00-23:59,7,Adult,3,275.68,4.57,4219.65,15,56
62,Jaffna - Vavuniya,120,180,Expressway,2,441,High,3,Up,1,09:00-11:59,3,Adult,3,276.28,4.88,6797.62,18,41
16,Colombo - Panadura,27,60,Normal,1,30,Medium,2,Up,1,09:00-11:59,3,Child,1,279.78,5.52,1367.86,50,58
10,Kuliyapitiya - Kurunegala,22,40,Normal,1,33,High,3,Down,2,12:00-14:59,4,Senior,4,264.97,6.17,945.34,24,61
51,Colombo - Ratnapura,85,130,Luxury,4,256,High,3,Down,2,12:00-14:59,4,Child,1,280.02,3.23,7371.64,20,26
28,Negombo - Colombo,40,90,Luxury,4,177,Medium,2,Down,2,18:00-20:59,6,Adult,3,278.96,6.21,1797.14,40,25
1,Kandy - Peradeniya,5,15,Luxury,4,5,Medium,2,Down,2,09:00-11:59,3,Adult,3,273.48,7.67,178.35,150,33
28,Negombo - Colombo,40,90,Semi-Luxury,3,70,Low,1,Up,1,00:00-05:59,1,Child,1,271.71,5.74,1894.08,40,40
45,Kandy - Hatton,75,140,Semi-Luxury,3,358,High,3,Up,1,09:00-11:59,3,Youth,2,280.71,3.74,5626.35,12,38
1,Kandy - Peradeniya,5,15,Normal,1,5,Medium,2,Down,2,15:00-17:59,5,Adult,3,279.23,7.6,183.62,150,49
13,Ella - Badulla,25,40,Expressway,2,40,Medium,2,Up,1,00:00-05:59,1,Senior,4,298.18,5.81,1284.07,20,47
12,Habarana - Sigiriya,23,35,Luxury,4,48,Medium,2,Up,1,18:00-20:59,6,Child,1,264.58,6.34,960.5,30,24
16,Colombo - Panadura,27,60,Normal,1,64,Medium,2,Up,1,00:00-05:59,1,Youth,2,273.76,6.31,1170.81,50,50
35,Colombo - Avissawella,48,110,Luxury,4,232,High,3,Down,2,12:00-14:59,4,Youth,2,287.08,4.87,2829.22,30,24
11,Colombo - Homagama,23,55,Semi-Luxury,3,71,Medium,2,Down,2,15:00-17:59,5,Youth,2,281.01,5.75,1124.2,40,51
4,Colombo - Wattala,15,40,Semi-Luxury,3,47,High,3,Up,1,15:00-17:59,5,Adult,3,296.8,6.72,662.65,70,44
57,Kurunegala - Colombo,100,150,Normal,1,273,Medium,2,Up,1,09:00-11:59,3,Adult,3,272.84,4.05,6730.59,20,56
19,Tissamaharama - Kataragama,30,45,Normal,1,33,Low,1,Up,1,00:00-05:59,1,Child,1,284.91,4.92,1737.57,22,53
10,Kuliyapitiya - Kurunegala,22,40,Normal,1,50,Low,1,Down,2,21:00-23:59,7,Youth,2,274.96,5.69,1063.37,24,53
17,Wariyapola - Kurunegala,28,50,Luxury,4,104,Low,1,Down,2,00:00-05:59,1,Adult,3,276.89,6.34,1223.46,20,32
53,Anuradhapura - Polonnaruwa,90,140,Normal,1,282,Low,1,Up,1,21:00-23:59,7,Adult,3,268.5,4.96,4870.56,12,56
75,Mannar - Jaffna,180,240,Semi-Luxury,3,422,Low,1,Up,1,15:00-17:59,5,Child,1,267.53,3.64,13222.92,6,48
4,Colombo - Wattala,15,40,Expressway,2,29,Low,1,Down,2,00:00-05:59,1,Adult,3,283.71,5.66,752.18,70,45
63,Batticaloa - Trincomalee,120,150,Semi-Luxury,3,292,High,3,Up,1,09:00-11:59,3,Senior,4,291.94,5.21,6728.6,14,48
88,Colombo - Trincomalee,300,420,Normal,1,959,High,3,Down,2,00:00-05:59,1,Youth,2,286.44,3.24,26504.59,8,59
2,Galle - Unawatuna,8,25,Normal,1,7,Low,1,Down,2,15:00-17:59,5,Adult,3,279.83,6.86,326.41,60,74
68,Colombo - Galle,135,210,Normal,1,348,Medium,2,Up,1,00:00-05:59,1,Adult,3,288.22,4,9718.18,30,54
1,Kandy - Peradeniya,5,15,Normal,1,5,High,3,Down,2,00:00-05:59,1,Adult,3,291.94,8.57,170.28,150,54
1,Kandy - Peradeniya,5,15,Semi-Luxury,3,6,High,3,Up,1,06:00-08:59,2,Adult,3,266.61,8.33,160.08,150,52
6,Colombo - Moratuwa,18,50,Normal,1,35,Medium,2,Down,2,12:00-14:59,4,Adult,3,269.98,5.48,886.82,60,48
18,Kurunegala - Melsiripura,30,50,Semi-Luxury,3,55,Medium,2,Up,1,09:00-11:59,3,Child,1,278.81,5.9,1416.93,20,38
40,Hambantota - Matara,70,90,Normal,1,105,Low,1,Down,2,21:00-23:59,7,Senior,4,279.27,4.09,4779.91,15,43
47,Kandy - Kurunegala,80,110,Normal,1,271,High,3,Down,2,15:00-17:59,5,Adult,3,277.24,5.01,4424.93,16,57
69,Galle - Colombo,135,210,Normal,1,224,Low,1,Down,2,12:00-14:59,4,Child,1,270.74,3.9,9373.09,20,55
46,Colombo - Chilaw,80,120,Normal,1,240,Medium,2,Down,2,12:00-14:59,4,Adult,3,276.22,5.05,4373.74,18,53
22,Kandy - Matale,35,50,Normal,1,73,Low,1,Up,1,09:00-11:59,3,Adult,3,284.55,5.51,1806.28,25,58
6,Colombo - Moratuwa,18,50,Luxury,4,62,Medium,2,Up,1,12:00-14:59,4,Youth,2,265.01,5.97,798.78,60,28
7,Colombo - Piliyandala,20,50,Luxury,4,39,Medium,2,Up,1,15:00-17:59,5,Child,1,279.32,5.52,1012.71,35,34
51,Colombo - Ratnapura,85,130,Luxury,4,225,High,3,Down,2,09:00-11:59,3,Child,1,276.77,4.07,5777.06,20,33
28,Negombo - Colombo,40,90,Expressway,2,129,Medium,2,Up,1,12:00-14:59,4,Youth,2,256.21,4.75,2157.45,40,49
30,Kandy - Nawalapitiya,40,80,Normal,1,115,Medium,2,Down,2,00:00-05:59,1,Adult,3,269.83,5.71,1890.02,22,51
3,Colombo - Dehiwala,12,30,Normal,1,20,High,3,Up,1,15:00-17:59,5,Adult,3,275.13,6.28,525.31,100,61
44,Nuwara Eliya - Kandy,75,120,Normal,1,193,Low,1,Up,1,09:00-11:59,3,Youth,2,286.62,4.46,4820.24,12,55
52,Ratnapura - Colombo,85,130,Normal,1,119,Medium,2,Up,1,18:00-20:59,6,Child,1,275.62,4.6,5090.42,18,57
23,Matara - Galle,35,50,Expressway,2,63,Low,1,Up,1,06:00-08:59,2,Child,1,290.69,6.15,1654.7,22,54
11,Colombo - Homagama,23,55,Normal,1,33,Medium,2,Up,1,15:00-17:59,5,Senior,4,281.08,6.58,983.07,40,40
22,Kandy - Matale,35,50,Normal,1,102,Low,1,Up,1,21:00-23:59,7,Adult,3,280.75,5.71,1720.88,25,54
55,Ratnapura - Kandy,95,140,Normal,1,157,Medium,2,Up,1,18:00-20:59,6,Senior,4,290.44,5.05,5461.04,14,50
21,Galle - Matara,35,50,Expressway,2,109,Medium,2,Down,2,06:00-08:59,2,Youth,2,277.29,4.4,2206.6,20,58
38,Kandy - Dambulla,70,110,Luxury,4,357,Medium,2,Up,1,12:00-14:59,4,Adult,3,265.23,5.18,3585.85,18,31
20,Matara - Weligama,30,50,Semi-Luxury,3,119,Medium,2,Down,2,09:00-11:59,3,Youth,2,279.75,5.85,1433.46,28,39
28,Negombo - Colombo,40,90,Luxury,4,186,Medium,2,Down,2,06:00-08:59,2,Youth,2,283.37,5.55,2041.1,40,37
3,Colombo - Dehiwala,12,30,Semi-Luxury,3,29,Medium,2,Up,1,09:00-11:59,3,Youth,2,279.83,7.38,455.3,100,37
64,Vavuniya - Anuradhapura,120,160,Normal,1,353,Medium,2,Up,1,18:00-20:59,6,Youth,2,268.32,4.59,7012.37,12,56
5,Colombo - Maharagama,16,45,Luxury,4,58,Medium,2,Up,1,18:00-20:59,6,Adult,3,282.12,5.4,835.31,80,33
16,Colombo - Panadura,27,60,Normal,1,69,High,3,Down,2,21:00-23:59,7,Adult,3,272.84,5.71,1289.36,50,58
11,Colombo - Homagama,23,55,Expressway,2,41,Medium,2,Up,1,18:00-20:59,6,Senior,4,285.09,6.34,1035.01,40,40
87,Badulla - Colombo,250,360,Semi-Luxury,3,1172,Medium,2,Up,1,15:00-17:59,5,Youth,2,266.68,3.44,19364.78,8,49
6,Colombo - Moratuwa,18,50,Normal,1,36,High,3,Down,2,09:00-11:59,3,Youth,2,280.7,5.93,852.57,60,49
56,Colombo - Kurunegala,100,150,Semi-Luxury,3,236,Low,1,Up,1,00:00-05:59,1,Senior,4,289.01,4.17,6924.02,25,40
18,Kurunegala - Melsiripura,30,50,Luxury,4,130,Low,1,Up,1,21:00-23:59,7,Adult,3,300.34,5.72,1575.66,20,30
38,Kandy - Dambulla,70,110,Normal,1,205,Medium,2,Down,2,12:00-14:59,4,Adult,3,265.38,4.38,4238.79,18,55
91,Batticaloa - Colombo,320,450,Semi-Luxury,3,1534,High,3,Up,1,09:00-11:59,3,Adult,3,287.19,3.94,23312.27,5,42
39,Matara - Hambantota,70,90,Semi-Luxury,3,333,High,3,Up,1,21:00-23:59,7,Youth,2,267.88,4.75,3945.84,15,38
24,Monaragala - Wellawaya,35,60,Luxury,4,144,Low,1,Up,1,09:00-11:59,3,Adult,3,275,5.54,1735.84,18,31
1,Kandy - Peradeniya,5,15,Normal,1,5,Medium,2,Down,2,18:00-20:59,6,Youth,2,270.77,7.85,172.48,150,43
59,Trincomalee - Habarana,110,140,Normal,1,314,Medium,2,Down,2,12:00-14:59,4,Youth,2,274.81,4.25,7107.66,10,54
49,Chilaw - Colombo,80,120,Normal,1,121,Low,1,Down,2,15:00-17:59,5,Child,1,291.28,4.07,5722.44,16,62
4,Colombo - Wattala,15,40,Luxury,4,48,Low,1,Down,2,21:00-23:59,7,Adult,3,285.56,6.6,649.42,70,30
86,Colombo - Badulla,250,360,Normal,1,677,Medium,2,Up,1,21:00-23:59,7,Adult,3,256.63,3.1,20675.9,9,50
60,Colombo - Kandy,120,180,Normal,1,316,Medium,2,Up,1,09:00-11:59,3,Youth,2,291.97,3.87,9057.53,20,54
59,Trincomalee - Habarana,110,140,Normal,1,308,Medium,2,Up,1,06:00-08:59,2,Adult,3,270.67,4.55,6538.58,10,69
1,Kandy - Peradeniya,5,15,Expressway,2,6,Low,1,Down,2,18:00-20:59,6,Adult,3,265.56,7.8,170.28,150,43
1,Kandy - Peradeniya,5,15,Normal,1,5,Medium,2,Up,1,00:00-05:59,1,Child,1,293.07,9.25,158.34,150,52
4,Colombo - Wattala,15,40,Normal,1,29,Medium,2,Up,1,06:00-08:59,2,Youth,2,276.15,6.16,672.25,70,70
5,Colombo - Maharagama,16,45,Normal,1,27,Low,1,Up,1,00:00-05:59,1,Adult,3,275.45,6.13,719.09,80,62
50,Colombo - Chilaw (fast),80,120,Luxury,4,401,Low,1,Up,1,06:00-08:59,2,Youth,2,287.72,5.16,4457.05,12,37
56,Colombo - Kurunegala,100,150,Normal,1,290,Medium,2,Down,2,09:00-11:59,3,Youth,2,272.43,3.82,7126.63,25,50
3,Colombo - Dehiwala,12,30,Normal,1,17,High,3,Down,2,00:00-05:59,1,Youth,2,281.74,7.35,460.22,100,60
35,Colombo - Avissawella,48,110,Normal,1,124,Medium,2,Up,1,06:00-08:59,2,Adult,3,273.58,4.28,3070.34,30,67
28,Negombo - Colombo,40,90,Normal,1,103,Low,1,Up,1,09:00-11:59,3,Adult,3,271.78,5.84,1861.24,40,59
28,Negombo - Colombo,40,90,Semi-Luxury,3,186,High,3,Down,2,06:00-08:59,2,Adult,3,276.59,5.45,2030.31,40,54
16,Colombo - Panadura,27,60,Normal,1,62,Low,1,Down,2,21:00-23:59,7,Adult,3,280.1,5.23,1447.24,50,61
62,Jaffna - Vavuniya,120,180,Normal,1,246,High,3,Up,1,21:00-23:59,7,Senior,4,260.26,5.32,5872.43,18,59
7,Colombo - Piliyandala,20,50,Normal,1,25,Medium,2,Down,2,06:00-08:59,2,Senior,4,273.35,5.81,940.87,35,57
31,Puttalam - Chilaw,40,60,Semi-Luxury,3,89,Medium,2,Down,2,06:00-08:59,2,Senior,4,277.44,4.58,2421.58,20,52
15,Galle - Hikkaduwa,25,60,Semi-Luxury,3,100,High,3,Up,1,00:00-05:59,1,Youth,2,274.11,5.43,1261.19,30,39
26,Colombo - Negombo,40,90,Normal,1,104,Medium,2,Up,1,00:00-05:59,1,Adult,3,264.66,6.02,1757.43,40,60
26,Colombo - Negombo,40,90,Normal,1,66,Medium,2,Up,1,06:00-08:59,2,Senior,4,263.8,5.45,1937.71,40,68
86,Colombo - Badulla,250,360,Luxury,4,1370,Medium,2,Up,1,09:00-11:59,3,Adult,3,280.89,3.68,19060.65,9,28
92,Colombo - Jaffna,400,480,Semi-Luxury,3,931,Medium,2,Down,2,12:00-14:59,4,Child,1,296.19,3.59,32988.27,8,34
3,Colombo - Dehiwala,12,30,Normal,1,17,Medium,2,Down,2,00:00-05:59,1,Adult,3,283,8.07,420.75,100,52
1,Kandy - Peradeniya,5,15,Normal,1,5,Medium,2,Down,2,06:00-08:59,2,Child,1,262.6,8.55,153.54,150,72
60,Colombo - Kandy,120,180,Luxury,4,627,Low,1,Down,2,21:00-23:59,7,Adult,3,283.89,4.13,8249.51,20,30
85,Colombo - Bandarawela,220,360,Normal,1,745,Medium,2,Up,1,06:00-08:59,2,Youth,2,287.19,2.77,22773.93,6,58
53,Anuradhapura - Polonnaruwa,90,140,Expressway,2,378,Low,1,Up,1,09:00-11:59,3,Youth,2,269.39,4.73,5124.47,12,47
25,Colombo - Gampaha,37,70,Normal,1,44,Low,1,Up,1,09:00-11:59,3,Child,1,281.78,4.44,2350.27,45,58
70,Anuradhapura - Trincomalee,150,200,Normal,1,295,High,3,Down,2,21:00-23:59,7,Senior,4,282.42,4,10598.06,10,62
2,Galle - Unawatuna,8,25,Luxury,4,10,Medium,2,Down,2,09:00-11:59,3,Adult,3,295.53,8.64,273.73,60,34
37,Polonnaruwa - Anuradhapura,60,50,Normal,1,93,High,3,Up,1,21:00-23:59,7,Senior,4,269.43,6.4,2527.56,20,50
25,Colombo - Gampaha,37,70,Normal,1,91,High,3,Up,1,00:00-05:59,1,Adult,3,278.97,4.97,2078.25,45,56
30,Kandy - Nawalapitiya,40,80,Normal,1,60,High,3,Up,1,00:00-05:59,1,Senior,4,288.96,5.44,2125.99,22,53
59,Trincomalee - Habarana,110,140,Normal,1,376,Medium,2,Down,2,06:00-08:59,2,Adult,3,276.13,4.36,6970.13,10,67
39,Matara - Hambantota,70,90,Normal,1,177,High,3,Down,2,09:00-11:59,3,Adult,3,270.98,4.19,4524.23,15,47
49,Chilaw - Colombo,80,120,Expressway,2,365,High,3,Down,2,06:00-08:59,2,Youth,2,277.91,5.45,4079.4,16,45
4,Colombo - Wattala,15,40,Normal,1,26,High,3,Down,2,18:00-20:59,6,Adult,3,291.18,6.73,648.6,70,59
23,Matara - Galle,35,50,Normal,1,89,Low,1,Down,2,15:00-17:59,5,Adult,3,279.73,6.09,1608.75,22,57
53,Anuradhapura - Polonnaruwa,90,140,Normal,1,281,High,3,Up,1,06:00-08:59,2,Youth,2,267.44,5.28,4554.55,12,63
16,Colombo - Panadura,27,60,Normal,1,67,Medium,2,Up,1,09:00-11:59,3,Adult,3,259.49,5.48,1278.27,50,44
6,Colombo - Moratuwa,18,50,Normal,1,17,Medium,2,Down,2,00:00-05:59,1,Senior,4,278.75,5.66,886.97,60,53
70,Anuradhapura - Trincomalee,150,200,Normal,1,476,Low,1,Up,1,15:00-17:59,5,Adult,3,273.47,4.35,9440.42,10,67
27,Colombo - Kalutara,40,60,Normal,1,71,High,3,Down,2,00:00-05:59,1,Senior,4,267.32,5.8,1842.48,30,53
11,Colombo - Homagama,23,55,Expressway,2,71,High,3,Up,1,12:00-14:59,4,Adult,3,278.97,5.95,1078.44,40,46
5,Colombo - Maharagama,16,45,Normal,1,32,High,3,Down,2,00:00-05:59,1,Youth,2,270.98,6.2,699.59,80,59
7,Colombo - Piliyandala,20,50,Semi-Luxury,3,58,High,3,Up,1,09:00-11:59,3,Youth,2,273.74,6.07,902.37,35,40
19,Tissamaharama - Kataragama,30,45,Semi-Luxury,3,105,High,3,Up,1,15:00-17:59,5,Adult,3,263.81,6.01,1316.41,22,48
28,Negombo - Colombo,40,90,Normal,1,50,Medium,2,Down,2,18:00-20:59,6,Child,1,258.6,5.65,1830.11,40,46
15,Galle - Hikkaduwa,25,60,Normal,1,53,Medium,2,Down,2,18:00-20:59,6,Adult,3,284.83,5.53,1288.33,30,57
17,Wariyapola - Kurunegala,28,50,Normal,1,37,High,3,Down,2,00:00-05:59,1,Child,1,279.67,6.11,1280.66,20,47
4,Colombo - Wattala,15,40,Semi-Luxury,3,40,High,3,Down,2,12:00-14:59,4,Youth,2,288.29,6.76,639.29,70,39
3,Colombo - Dehiwala,12,30,Normal,1,10,High,3,Up,1,15:00-17:59,5,Child,1,271.37,7.3,446.2,100,66
53,Anuradhapura - Polonnaruwa,90,140,Luxury,4,255,High,3,Up,1,00:00-05:59,1,Child,1,286.77,5.08,5083.58,12,26
33,Badulla - Nuwara Eliya,45,60,Semi-Luxury,3,181,High,3,Down,2,00:00-05:59,1,Adult,3,278.21,5.49,2279.39,18,39
48,Kurunegala - Kandy,80,110,Normal,1,243,Low,1,Down,2,09:00-11:59,3,Adult,3,281.18,4.03,5575.72,18,54
54,Monaragala - Badulla,90,150,Semi-Luxury,3,410,Medium,2,Down,2,06:00-08:59,2,Youth,2,272.79,4.96,4951.58,10,38
46,Colombo - Chilaw,80,120,Normal,1,132,Medium,2,Up,1,15:00-17:59,5,Senior,4,278.07,5.95,3735.74,18,67
66,Hambantota - Galle,130,180,Normal,1,378,High,3,Down,2,12:00-14:59,4,Youth,2,279.34,3.78,9616.14,10,46
32,Hambantota - Tissamaharama,40,70,Normal,1,112,Low,1,Down,2,21:00-23:59,7,Adult,3,280.03,5.18,2162.16,18,51
13,Ella - Badulla,25,40,Normal,1,58,High,3,Up,1,21:00-23:59,7,Adult,3,272.53,6.12,1113.44,20,47
49,Chilaw - Colombo,80,120,Normal,1,233,High,3,Up,1,18:00-20:59,6,Youth,2,278.48,4.5,4950.39,16,48
44,Nuwara Eliya - Kandy,75,120,Normal,1,225,Medium,2,Up,1,00:00-05:59,1,Adult,3,278.18,3.26,6407.83,12,54
57,Kurunegala - Colombo,100,150,Normal,1,176,High,3,Down,2,06:00-08:59,2,Senior,4,258.09,4.42,5845.23,20,69
5,Colombo - Maharagama,16,45,Normal,1,14,High,3,Up,1,00:00-05:59,1,Child,1,285.7,5.77,791.8,80,52
52,Ratnapura - Colombo,85,130,Expressway,2,332,Medium,2,Down,2,21:00-23:59,7,Adult,3,277.31,3.97,5936.03,18,38
4,Colombo - Wattala,15,40,Normal,1,28,Low,1,Down,2,18:00-20:59,6,Youth,2,270.19,6.56,618.01,70,50
